Action,Id,RuleSet,Category,Title,Severity,Reasoning
None,CA1000,.NET Quality,Design,Do not declare static members on generic types,Warning,
None,CA1001,.NET Quality,Design,Types that own disposable fields should be disposable,Warning,
None,CA1002,.NET Quality,Design,Do not expose generic lists,Warning,
None,CA1003,.NET Quality,Design,Use generic event handler instances,Warning,
None,CA1005,.NET Quality,Design,Avoid excessive parameters on generic types,Warning,
None,CA1008,.NET Quality,Design,Enums should have zero value,Warning,
None,CA1010,.NET Quality,Design,Generic interface should also be implemented,Warning,
None,CA1012,.NET Quality,Design,Abstract types should not have public constructors,Warning,
None,CA1014,.NET Quality,Design,Mark assemblies with CLSCompliant,Warning,
None,CA1016,.NET Quality,Design,Mark assemblies with assembly version,Warning,
None,CA1017,.NET Quality,Design,Mark assemblies with ComVisible,Warning,
None,CA1018,.NET Quality,Design,Mark attributes with AttributeUsageAttribute,Warning,
None,CA1019,.NET Quality,Design,Define accessors for attribute arguments,Warning,
None,CA1021,.NET Quality,Design,Avoid out parameters,Warning,
None,CA1024,.NET Quality,Design,Use properties where appropriate,Warning,
None,CA1027,.NET Quality,Design,Mark enums with FlagsAttribute,Warning,
None,CA1028,.NET Quality,Design,Enum Storage should be Int32,Warning,
None,CA1030,.NET Quality,Design,Use events where appropriate,Warning,
None,CA1031,.NET Quality,Design,Do not catch general exception types,Warning,
None,CA1032,.NET Quality,Design,Implement standard exception constructors,Disabled,
None,CA1033,.NET Quality,Design,Interface methods should be callable by child types,Warning,
None,CA1034,.NET Quality,Design,Nested types should not be visible,Warning,
None,CA1036,.NET Quality,Design,Override methods on comparable types,Warning,
None,CA1040,.NET Quality,Design,Avoid empty interfaces,Disabled,
None,CA1041,.NET Quality,Design,Provide ObsoleteAttribute message,Warning,
None,CA1043,.NET Quality,Design,Use Integral Or String Argument For Indexers,Warning,
None,CA1044,.NET Quality,Design,Properties should not be write only,Warning,
None,CA1045,.NET Quality,Design,Do not pass types by reference,Warning,
None,CA1046,.NET Quality,Design,Do not overload equality operator on reference types,Disabled,
None,CA1047,.NET Quality,Design,Do not declare protected member in sealed type,Warning,
None,CA1050,.NET Quality,Design,Declare types in namespaces,Warning,
None,CA1051,.NET Quality,Design,Do not declare visible instance fields,Warning,
None,CA1052,.NET Quality,Design,Static holder types should be Static or NotInheritable,Warning,
None,CA1054,.NET Quality,Design,URI-like parameters should not be strings,Warning,
None,CA1055,.NET Quality,Design,URI-like return values should not be strings,Warning,
None,CA1056,.NET Quality,Design,URI-like properties should not be strings,Warning,
None,CA1058,.NET Quality,Design,Types should not extend certain base types,Warning,
